trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.95}",25,0,-184.62194007143563,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.25, 'e': 0.8999999999999999}",20,0,-162.60141927725743,"{0: 3, 1: 7, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.8499999999999999}",30,0,-156.56019503929556,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.7999999999999998}",25,0,-133.47575305085977,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.25, 'e': 0.7499999999999998}",25,0,-131.96098325246936,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.6999999999999997}",30,13,-11.292780508255396,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.6499999999999997}",25,0,-146.90748481643914,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.5999999999999996}",20,0,-73.75819483103179,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.5499999999999996}",30,0,-22.051637303956262,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.4999999999999996}",20,0,-179.3018943807922,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.25, 'e': 0.4499999999999996}",25,1,-54.93035196205363,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 0}",1
12,False,"{'a': 0.25, 'e': 0.39999999999999963}",30,0,-82.09491778260754,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.34999999999999964}",30,17,-28.436154520114048,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.25, 'e': 0.29999999999999966}",25,0,4.1551498359228916,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.24999999999999967}",25,0,-110.519063683164,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.19999999999999968}",20,5,-97.12825727017605,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.25, 'e': 0.1499999999999997}",35,13,-40.47312150807783,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.25, 'e': 0.09999999999999969}",20,0,-51.504876059466156,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.049999999999999684}",25,1,-96.86329382775536,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.25, 'e': -3.191891195797325e-16}",25,0,-9.501785104387604,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-26.618628219192797,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,2,-21.9256166008587,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,0,12.33937947805842,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,10,6.190903304224868,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-75.5641024192191,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,3.371534126145491,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,2,23.92224328308628,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,12.852722718920582,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-63.108748078249945,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-15.127953363295683,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
