trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.95}",30,0,-52.939809739274175,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.904875}",25,0,-180.1959733315817,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.25, 'e': 0.86393506171875}",20,0,-72.02597041841241,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.826615872175401}",30,0,-209.35155268215607,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
5,False,"{'a': 0.25, 'e': 0.7924511821687861}",20,0,-159.397118777206,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.7610522383627507}",20,0,-92.1338019635691,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.7320922128869031}",25,0,-31.76287392030111,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.705294262478421}",20,0,-75.21893412949417,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.6804222626441719}",30,0,-129.0279476324231,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.6572735398690812}",25,0,-131.7351720128434,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.6356731145584795}",35,0,-88.17622609089338,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.6154690991298556}",20,7,-68.67604136029287,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.25, 'e': 0.5965289885306698}",25,0,-106.64960594339601,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.25, 'e': 0.5787366468227986}",25,11,-38.93527913542184,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.25, 'e': 0.5619898415040138}",35,0,-79.71506251148179,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.5461982124063285}",25,20,9.946819915780816,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.5312815880445351}",25,0,-85.03956058344795,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.5171685817547789}",25,0,-97.41146643241763,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.25, 'e': 0.5037954146570665}",25,0,-83.55108903500383,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.49110492366559216}",25,0,-97.41860114270561,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.25, 'e': 0.4790457213631628}",20,0,-88.86166018159226,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.25, 'e': 0.46757148120534514}",25,5,-92.56301035253375,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",1
23,False,"{'a': 0.25, 'e': 0.4566403267035171}",25,0,-4.121176819231473,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.25, 'e': 0.4462143073049224}",20,0,-17.896618430003045,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.4362589469027418}",25,3,-47.58220513144119,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.25, 'e': 0.4267428534651073}",25,0,-65.44922085695927,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.25, 'e': 0.41763738031593023}",20,3,-64.28785392403684,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
28,False,"{'a': 0.25, 'e': 0.40891633124407256}",20,10,-15.515834997757674,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
