trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.1608028366502,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-2.5101864735760486,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.52165997588381,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.02387207320476,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.1971078345501,"{0: 13, 1: 6, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.51852406287541,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.90829449371572,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,5,-17.644473395883363,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.092652863576909,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.2539170990444,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.73289287522961,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.56337125675101,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-186.10745730858446,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.41604166219861,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.86960066396607,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.603036848955,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.68222140036292,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.26679036382336,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.1392857845989,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-1.8555887665805213,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,7,-80.21710588231052,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.90944623304819,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.227855403215386,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.36762045420086,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.28510767218854,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.41373943612157,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-259.32233314924383,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.421316814856404,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-253.87726403477012,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,6,-8.684653728612902,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
